No,Name,Location,Year,KmDriven,FuelType,Transmission,OwnerType,CC,Seats,Price
2639,Hyundai Grand i10 Sportz,Jaipur,2015,14000,Petrol,Manual,First,1197,5,460000
2640,Maruti Swift VDI BSIV,Pune,2007,121000,Diesel,Manual,Second,1248,5,235000
2641,Hyundai i20 Asta 1.2,Coimbatore,2016,17560,Petrol,Manual,First,1197,5,721000
2642,Renault Duster 85PS Diesel RxL,Pune,2016,60000,Diesel,Manual,First,1461,5,800000
2643,Maruti Swift Dzire VDi,Hyderabad,2009,88096,Diesel,Manual,Second,1248,5,350000
2644,Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,Pune,2008,178280,Diesel,Manual,First,2494,8,590000
2645,Tata Nano Twist XT,Coimbatore,2015,19963,Petrol,Manual,Second,624,4,174000
2646,Ford Figo 2015-2019 1.2P Sports Edition MT,Mumbai,2019,1000,Petrol,Manual,First,1196,5,680000
2647,Hyundai i20 1.2 Asta Option,Jaipur,2017,8000,Petrol,Manual,First,1197,5,750000
2648,Honda BRV i-VTEC V MT,Pune,2016,9200,Petrol,Manual,First,1497,7,800000
2649,Honda Amaze S Diesel,Hyderabad,2015,29000,Diesel,Manual,First,1498,5,599000
2650,Hyundai Creta 1.6 CRDi SX,Mumbai,2017,27000,Diesel,Manual,First,1582,5,1290000
2651,Maruti Baleno Zeta 1.2,Delhi,2018,22900,Petrol,Manual,First,1197,5,700000
2652,Audi Q5 2.0 TDI Technology,Hyderabad,2014,50000,Diesel,Automatic,First,1968,5,3500000
2653,Honda Amaze S i-DTEC,Jaipur,2015,60207,Diesel,Manual,First,1498,5,550000
2654,BMW X5 3.0d,Coimbatore,2010,101119,Diesel,Automatic,First,2993,5,1846000
2655,Ford Figo Petrol Titanium,Jaipur,2010,42000,Petrol,Manual,First,1196,5,240000
2656,Maruti Wagon R VXI,Pune,2002,93000,Petrol,Manual,Third,998,5,100000
2657,Hyundai i10 Era,Ahmedabad,2012,60000,Petrol,Manual,Second,1086,5,265000
2658,Skoda Rapid 1.5 TDI AT Elegance,Kochi,2015,66122,Diesel,Automatic,First,1498,5,596000
2659,Porsche Panamera Diesel,Kolkata,2015,25100,Diesel,Automatic,First,2967,4,7500000
2660,Mercedes-Benz CLA 200 Sport Edition,Kochi,2017,24733,Petrol,Automatic,First,1991,5,2715000
2661,Audi A6 2.8 FSI,Ahmedabad,2008,41000,Petrol,Automatic,Second,2773,5,1050000
2662,Maruti Ciaz ZXi Plus,Chennai,2015,30000,Petrol,Manual,First,1373,5,670000
2663,Ford Ecosport 1.5 DV5 MT Titanium,Kolkata,2013,36000,Diesel,Manual,First,1498,5,490000
2664,Mahindra Bolero mHAWK D70 ZLX,Hyderabad,2017,40279,Diesel,Manual,First,1493,7,800000
2665,Maruti Alto K10 VXI,Kochi,2018,46805,Petrol,Manual,First,998,5,363000
2666,Maruti Swift Dzire 1.2 Vxi BSIV,Mumbai,2015,60000,Petrol,Manual,First,1197,5,480000
2667,Tata Zest Revotron 1.2T XE,Mumbai,2017,100000,Petrol,Manual,First,1193,5,425000
2668,Maruti Swift 1.3 VXi,Kolkata,2014,32986,Petrol,Manual,First,,,424000
2669,Ford Endeavour 3.2 Trend AT 4X4,Coimbatore,2018,51530,Diesel,Automatic,First,3198,7,3027000
2670,Mercedes-Benz New C-Class C 220 CDI CLASSIC,Jaipur,2013,81456,Diesel,Manual,First,2148,5,1425000
2671,Hyundai i10 Sportz AT,Ahmedabad,2012,37229,Petrol,Automatic,First,1197,5,341000
2672,Honda City 1.5 S MT,Delhi,2009,73200,Petrol,Manual,First,1497,5,278000
2673,Skoda Octavia Elegance 2.0 TDI AT,Ahmedabad,2015,71826,Diesel,Automatic,First,1968,5,1550000
2674,Tata Indica V2 eLS,Chennai,2017,129000,Diesel,Manual,First,1396,5,300000
2675,Maruti Wagon R VXi BSII,Pune,2012,82000,Petrol,Manual,First,998,5,230000
2676,Hyundai Creta 1.6 CRDi SX,Kochi,2017,40459,Diesel,Manual,First,1582,5,1328000
2677,Maruti A-Star Lxi,Hyderabad,2009,61964,Petrol,Manual,First,998,5,225000
2678,Maruti Wagon R LXI,Kochi,2011,15466,Petrol,Manual,First,998,5,336000
2679,Honda Mobilio E i VTEC,Kolkata,2014,23000,Petrol,Manual,First,1497,7,425000
2680,Hyundai i10 Magna,Coimbatore,2012,43766,Petrol,Manual,First,1197,5,430000
2681,Skoda Superb 3.6 V6 FSI,Hyderabad,2010,54000,Petrol,Automatic,First,3597,5,600000
2682,Hyundai i20 1.4 Sportz,Coimbatore,2018,18521,Diesel,Manual,First,1396,5,918000
2683,Maruti Celerio ZXI Optional,Hyderabad,2017,26400,Petrol,Manual,First,998,5,499000
2684,Skoda Laura 1.8 TSI Ambiente,Pune,2011,31900,Petrol,Manual,First,1798,5,375000
2685,Ford Figo Diesel LXI,Chennai,2010,39000,Diesel,Manual,First,1399,5,250000
2686,Honda Jazz 1.5 VX i DTEC,Hyderabad,2016,45671,Diesel,Manual,First,1498,5,720000
2687,Mercedes-Benz E-Class 2015-2017 E250 Edition E,Ahmedabad,2016,39500,Diesel,Automatic,First,2143,5,2950000
2688,Mercedes-Benz GLA Class 200 CDI SPORT,Chennai,2015,54000,Diesel,Automatic,First,2143,5,1755000
2689,Volvo S60 D3,Chennai,2012,20000,Diesel,Automatic,First,1985,5,1200000
2690,Audi A8 L 3.0 TDI quattro,Bangalore,2009,55000,Diesel,Automatic,First,2967,5,1350000
2691,Hyundai Verna 1.6 SX CRDI (O) AT,Kolkata,2014,48000,Diesel,Automatic,First,1582,5,510000
2692,BMW 3 Series 320d,Kolkata,2011,70000,Diesel,Automatic,First,1995,5,1030000
2693,Hyundai Verna 1.6 SX,Delhi,2014,62000,Diesel,Manual,First,1582,5,570000
2694,Maruti Wagon R VXI,Kochi,2014,41994,Petrol,Manual,First,998,5,341000
2695,Ford Figo Diesel EXI,Hyderabad,2010,108882,Diesel,Manual,Second,1399,5,240000
2696,Mahindra KUV 100 mFALCON G80 K2,Coimbatore,2017,24806,Petrol,Manual,First,1198,6,560000
2697,Tata Indigo LS,Pune,2006,160000,Diesel,Manual,First,1405,5,100000
2698,Mahindra TUV 300 T8 AMT,Hyderabad,2017,30000,Diesel,Automatic,First,1493,7,820000
2699,Audi Q3 35 TDI Quattro Premium Plus,Bangalore,2015,51000,Diesel,Automatic,First,1968,5,2750000
2700,Maruti Wagon R VXI 1.2,Jaipur,2015,64876,Petrol,Manual,First,1197,5,350000
2702,Maruti Vitara Brezza ZDi Plus Dual Tone,Coimbatore,2017,25299,Diesel,Manual,First,1248,5,1034000
2703,Mahindra Scorpio DX 2.6 Turbo 8 Str,Mumbai,2006,89869,Diesel,Manual,First,2609,8,325000
2704,Hyundai Tucson CRDi,Jaipur,2007,103515,Diesel,Manual,Third,1991,7,500000
2705,Hyundai Santro Xing GLS,Hyderabad,2008,68282,Petrol,Manual,First,1086,5,225000
2706,Porsche Panamera Diesel 250hp,Kochi,2014,60033,Diesel,Automatic,First,2967,4,5152000
2707,Maruti Vitara Brezza VDi Option,Kochi,2018,51921,Diesel,Manual,First,1248,5,862000
2708,Maruti Swift Dzire VDI,Mumbai,2017,18414,Diesel,Manual,First,1248,5,725000
2709,Honda Amaze V Petrol,Kochi,2016,40866,Petrol,Manual,First,1199,5,547000
2710,Jaguar XF 2.2 Litre Luxury,Pune,2014,55001,Diesel,Automatic,First,2179,5,3100000
2711,Mini Cooper Convertible S,Kochi,2017,20469,Petrol,Automatic,First,1998,4,3598000
2712,Hyundai EON Era Plus,Jaipur,2017,8500,Petrol,Manual,First,814,5,342000
2713,Audi A6 3.0 TDI quattro,Ahmedabad,2008,45000,Diesel,Automatic,Second,2967,5,1150000
2714,Hyundai i20 Active 1.2 SX Dual Tone,Pune,2016,6000,Petrol,Manual,First,1197,5,725000
2715,Maruti Swift AMT DDiS VDI,Chennai,2018,11000,Diesel,Manual,First,1248,5,800000
2716,Ford Ecosport 1.5 DV5 MT Titanium,Kochi,2015,80064,Diesel,Manual,First,1498,5,733000
2717,Maruti Wagon R VXI BS IV with ABS,Kolkata,2016,29930,Petrol,Manual,First,998,5,335000
2718,Volkswagen Vento 1.5 TDI Highline,Mumbai,2013,49105,Diesel,Manual,First,1498,5,440000
2719,Toyota Etios VX,Kolkata,2012,55000,Petrol,Manual,First,1496,5,299000
2720,Honda Jazz 1.2 SV i VTEC,Bangalore,2015,23000,Petrol,Manual,First,1199,5,560000
2721,Volkswagen CrossPolo 1.5 TDI,Coimbatore,2016,54727,Diesel,Manual,First,1498,5,663000
2722,Volkswagen Ameo 1.5 TDI Highline,Kochi,2018,31426,Diesel,Manual,First,1498,5,790000
2723,Honda City V MT Exclusive,Kochi,2015,53442,Petrol,Manual,First,1497,5,700000
2724,Honda Brio VX AT,Hyderabad,2014,28000,Petrol,Automatic,First,1198,5,495000
2725,Skoda Rapid 1.6 MPI AT Style,Mumbai,2017,13412,Petrol,Automatic,First,1598,5,919000
2726,Hyundai Verna CRDi,Hyderabad,2011,70000,Diesel,Manual,First,1493,5,510000
2727,Hyundai i20 Active S Diesel,Jaipur,2015,81310,Diesel,Manual,First,1396,5,590000
2728,Maruti Baleno Alpha CVT,Kochi,2019,13574,Petrol,Automatic,First,1197,5,951000
2729,Honda CR-V 2.4L 4WD MT,Mumbai,2008,75000,Petrol,Manual,Second,2354,5,390000
2730,Maruti Swift Dzire VXI,Coimbatore,2014,58310,Petrol,Manual,Second,1197,5,539000
2731,Maruti Swift Dzire VDi,Pune,2009,90000,Diesel,Manual,Second,1248,5,300000
2732,Maruti Swift Dzire ZDI,Jaipur,2012,83000,Diesel,Manual,First,1248,5,430000
2733,Maruti Swift Dzire ZXI,Jaipur,2017,37282,Petrol,Manual,First,1197,5,675000
2734,Hyundai Grand i10 Sportz,Jaipur,2017,23000,Petrol,Manual,First,1197,5,450000
2735,Ford Fiesta 1.4 ZXi TDCi ABS,Chennai,2010,82000,Diesel,Manual,First,1399,5,275000
2736,Hyundai Verna 1.6 CRDi S,Chennai,2016,31000,Diesel,Manual,First,1582,5,900000
2737,Maruti Wagon R Vx,Jaipur,2001,200000,Petrol,Manual,First,,,70000
2738,Ford Figo Diesel EXI,Delhi,2014,45001,Diesel,Manual,Second,1399,5,255000
2739,Tata Manza Aqua Quadrajet BS IV,Coimbatore,2014,50446,Diesel,Manual,First,1248,5,354000
2740,Honda Civic 2006-2010 1.8 S MT,Ahmedabad,2009,89000,Petrol,Manual,First,1799,5,425000
2741,Maruti Alto LX BSIII,Ahmedabad,2007,72000,Petrol,Manual,Second,796,5,120000
2742,BMW 5 Series 520d Luxury Line,Ahmedabad,2013,90000,Diesel,Automatic,First,1995,5,1950000
2743,Mahindra XUV500 W8 2WD,Bangalore,2015,76000,Diesel,Manual,Second,2179,7,1200000
2744,Maruti Ritz VDi,Hyderabad,2012,78401,Diesel,Manual,First,1248,5,390000
2745,Maruti Vitara Brezza ZDi Plus,Kochi,2017,38426,Diesel,Manual,First,1248,5,913000
2746,Maruti Eeco 7 Seater Standard,Pune,2011,45000,Petrol,Manual,First,1196,7,225000
2747,Maruti Swift Dzire 1.2 Vxi BSIV,Mumbai,2012,83000,Petrol,Manual,First,1197,5,325000
2748,Hyundai Creta 1.6 CRDi AT SX Plus,Coimbatore,2017,50170,Diesel,Automatic,First,1582,5,1479000
2749,Maruti Wagon R LXI,Mumbai,2010,37822,Petrol,Manual,First,998,5,235000
2750,Maruti Celerio ZDi,Kolkata,2015,33517,Diesel,Manual,First,793,5,310000
2751,Hyundai Santa Fe 2WD AT,Delhi,2014,110000,Diesel,Automatic,First,2199,7,1290000
2752,Hyundai EON D Lite Plus Option,Kolkata,2017,60000,Petrol,Manual,First,814,5,250000
2753,Hyundai i20 Sportz 1.2,Delhi,2013,92408,Petrol,Manual,First,1197,5,365000
2754,Hyundai Verna 1.6 SX VTVT (O),Bangalore,2014,45000,Petrol,Manual,First,1591,5,750000
2755,Honda Brio S Option MT,Kochi,2013,33793,Petrol,Manual,First,1198,5,374000
2756,Maruti Swift VXI Optional,Kochi,2017,26327,Petrol,Manual,First,1197,5,586000
2757,Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Coimbatore,2018,20604,Diesel,Automatic,First,2143,5,3962000
2758,Maruti Swift VDI Optional,Coimbatore,2018,61386,Diesel,Manual,First,1248,5,705000
2759,Maruti Swift AMT VDI,Delhi,2018,11500,Diesel,Automatic,First,1248,5,750000
2760,Chevrolet Beat Diesel LS,Chennai,2012,58000,Diesel,Manual,First,936,5,210000
2761,Skoda Superb Elegance 1.8 TSI AT,Delhi,2014,38000,Petrol,Automatic,First,1798,5,1160000
2762,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Bangalore,2012,49000,Diesel,Automatic,Second,2143,5,1925000
2763,Toyota Innova Crysta 2.4 VX MT 8S,Coimbatore,2017,72202,Diesel,Manual,First,2393,8,1792000
2764,Hyundai i10 Sportz,Kolkata,2016,7000,Petrol,Manual,First,1197,5,360000
2765,Honda Amaze S i-DTEC,Ahmedabad,2014,20000,Diesel,Manual,Second,1498,5,450000
2766,Hyundai i20 Magna 1.4 CRDi (Diesel),Hyderabad,2017,14061,Diesel,Manual,First,1396,5,740000
2767,Mercedes-Benz GLE 350d,Coimbatore,2018,30706,Diesel,Automatic,First,2987,5,5929000
2768,Mahindra Scorpio 2009-2014 SLE 7S BSIV,Kolkata,2011,51387,Diesel,Manual,First,2179,7,550000
2769,Hyundai Getz GLE,Bangalore,2006,44000,Petrol,Manual,Second,1341,5,175000
2770,Maruti Baleno Alpha,Mumbai,2016,12208,Petrol,Manual,First,1197,5,675000
2771,Chevrolet Optra Magnum 2.0 LT,Chennai,2011,55000,Diesel,Manual,First,1991,5,395000
2772,Hyundai Verna 1.6 SX VTVT (O),Mumbai,2011,61600,Petrol,Manual,First,1591,5,420000
2773,Honda City 1.5 V MT,Hyderabad,2016,28414,Petrol,Manual,First,1497,5,840000
2774,Volkswagen Polo GT TSI,Mumbai,2017,27853,Petrol,Automatic,First,1197,5,825000
2775,Honda Brio E MT,Bangalore,2013,55116,Petrol,Manual,First,1198,5,331000
2776,Maruti Swift Dzire VDI,Ahmedabad,2017,26000,Diesel,Manual,First,1248,5,750000
2777,Honda City 1.5 V MT Exclusive,Pune,2012,45496,Petrol,Manual,First,1497,5,475000
2778,Mahindra Ssangyong Rexton RX7,Pune,2013,76000,Diesel,Automatic,Second,2696,7,879000
2779,Skoda Superb Elegance 1.8 TSI MT,Pune,2014,136000,Petrol,Manual,First,1798,5,950000
2780,Hyundai Santro GLS II - Euro II,Pune,2009,100000,Petrol,Manual,First,,,160000
2781,Maruti Alto LXi,Kolkata,2010,38127,Petrol,Manual,First,796,5,155000
2782,Hyundai i20 Asta (o) 1.4 CRDi (Diesel),Jaipur,2014,82450,Diesel,Manual,First,1396,5,585000
2783,Ford Ecosport 1.5 Ti VCT MT Trend,Coimbatore,2014,62497,Petrol,Manual,First,1499,5,752000
2784,Nissan Micra Diesel XV,Hyderabad,2011,86732,Diesel,Manual,First,1461,5,360000
2785,Honda Brio E MT,Kochi,2016,27969,Petrol,Manual,First,1198,5,473000
2786,Mahindra Ssangyong Rexton RX7,Delhi,2013,66372,Diesel,Automatic,First,2696,7,1050000
2787,BMW 7 Series 730Ld Sedan,Coimbatore,2013,73525,Diesel,Automatic,First,2993,5,3454000
2788,Hyundai Grand i10 1.2 Kappa Sportz,Kochi,2018,20689,Petrol,Manual,First,1197,5,607000
2789,Maruti Baleno Delta 1.2,Coimbatore,2018,25093,Petrol,Manual,First,1197,5,776000
2790,Mahindra Xylo E8 ABS BS IV,Coimbatore,2016,49176,Diesel,Manual,First,2498,8,746000
2791,Renault Fluence Diesel E4,Delhi,2012,87510,Diesel,Manual,First,1461,5,349000
2792,Hyundai i20 1.2 Magna,Coimbatore,2012,38214,Petrol,Manual,Second,1197,5,405000
2793,Mitsubishi Pajero 2.8 SFX,Kochi,2013,48986,Diesel,Manual,First,2835,6,1188000
2794,Toyota Corolla Altis 2008-2013 1.8 VL AT,Pune,2011,88000,Petrol,Automatic,First,1794,5,645000
2795,BMW X5 X5 M,Pune,2015,69002,Diesel,Automatic,First,2993,5,5000000
2796,BMW 3 Series 2005-2011 325i Sedan,Pune,2011,43706,Petrol,Automatic,First,2497,5,900000
2797,Hyundai Creta 1.6 CRDi AT SX Plus,Coimbatore,2016,58671,Diesel,Automatic,First,1582,5,1425000
2798,Mahindra TUV 300 2015-2019 T8,Coimbatore,2017,49404,Diesel,Manual,First,1493,7,736000
2799,Mahindra Scorpio VLX 2.2 mHawk BSIII,Delhi,2010,72000,Diesel,Manual,First,2179,8,440000
2800,Renault KWID RXT,Mumbai,2016,24000,Petrol,Manual,First,799,5,310000
2801,Renault KWID 1.0 RXT Optional AMT,Coimbatore,2017,53285,Petrol,Automatic,First,999,5,428000
2802,Maruti Swift VXi BSIV,Pune,2017,12000,Petrol,Manual,First,1197,5,550000
2803,Skoda Laura 1.9 TDI AT Ambiente,Kolkata,2012,45000,Diesel,Automatic,First,1896,5,699000
2804,Maruti Alto 800 2016-2019 VXI,Coimbatore,2018,26234,Petrol,Manual,First,796,5,429000
2805,Maruti Swift VXI,Delhi,2014,55000,Petrol,Manual,First,1197,5,420000
2806,Hyundai i20 1.4 CRDi Sportz,Pune,2012,90000,Diesel,Manual,First,1396,5,411000
2807,Audi Q3 2012-2015 35 TDI Quattro Premium,Mumbai,2015,48000,Diesel,Automatic,First,1968,5,1875000
2808,Mercedes-Benz GLE 350d,Mumbai,2017,19863,Diesel,Automatic,First,2987,5,6495000
2809,Hyundai i10 Era,Mumbai,2010,55000,Petrol,Manual,Second,1086,5,159000
2810,Maruti Wagon R LXI Optional,Kolkata,2016,4800,Petrol,Manual,First,998,5,360000
2811,Honda City i VTEC V,Kochi,2017,38607,Petrol,Manual,Second,1497,5,787000
2812,Hyundai Grand i10 1.2 Kappa Sportz,Mumbai,2018,3958,Petrol,Manual,First,1197,5,555000
2813,Honda City i DTEC VX,Jaipur,2014,74000,Diesel,Manual,Second,1498,5,640000
2814,Maruti Swift Dzire VXi,Mumbai,2009,54540,Petrol,Manual,Third,1298,5,265000
2815,Maruti Swift Dzire ZXi,Delhi,2015,58400,Petrol,Manual,First,1298,5,550000
2816,Mahindra XUV500 W8 2WD,Kochi,2013,73648,Diesel,Manual,First,2179,7,731000
2817,Maruti Ciaz ZDi Plus SHVS,Jaipur,2016,83000,Diesel,Manual,First,1248,5,710000
2818,Hyundai Verna 1.6 SX CRDi (O),Kochi,2016,16159,Diesel,Manual,First,1582,5,783000
2819,Hyundai Aent CRDi,Mumbai,2005,150000,Diesel,Manual,First,1493,5,85000
2820,Honda Brio S MT,Mumbai,2014,22100,Petrol,Manual,First,1198,5,355000
2821,Hyundai i20 Active 1.2 SX,Coimbatore,2017,35043,Petrol,Manual,First,1197,5,819000
2822,BMW 3 Series 320d Sport Line,Pune,2018,24000,Diesel,Automatic,First,1995,5,2800000
2823,Volkswagen Jetta 2013-2015 2.0L TDI Highline AT,Chennai,2015,480000,Diesel,Automatic,First,1968,5,1300000
2824,Volkswagen Polo Petrol Highline 1.6L,Chennai,2011,70000,Petrol,Manual,Second,1598,5,329000
2825,Maruti Swift VXi BSIV,Pune,2015,13769,Petrol,Manual,Second,1197,5,441000
2826,Renault Duster 110PS Diesel RxZ,Kolkata,2013,58000,Diesel,Manual,First,1461,5,499000
2827,BMW X3 xDrive 20d Luxury Line,Hyderabad,2009,58000,Diesel,Automatic,First,1995,5,1798000
2828,Fiat Avventura MULTIJET Emotion,Coimbatore,2018,18705,Diesel,Manual,First,1248,5,771000
2829,Maruti Wagon R Stingray VXI,Delhi,2013,32378,Petrol,Manual,First,998,5,280000
2830,Chevrolet Sail Hatchback LS ABS,Kolkata,2013,45000,Diesel,Manual,First,1248,5,300000
2831,Mahindra XUV500 W8 2WD,Coimbatore,2015,36836,Diesel,Manual,First,2179,7,1249000
2832,Tata Zest Quadrajet 1.3,Kochi,2016,54199,Diesel,Manual,First,1248,5,500000
2833,BMW X3 xDrive20d xLine,Kochi,2017,36935,Diesel,Automatic,First,1995,5,3264000
2834,Maruti Swift VDI BSIV,Chennai,2015,23000,Diesel,Manual,First,1248,5,650000
2835,BMW 5 Series 2013-2017 520d Luxury Line,Bangalore,2015,14000,Diesel,Automatic,First,1995,5,3500000
2836,Tata Indigo CS eVX,Chennai,2015,100073,Diesel,Manual,Second,1396,5,200000
2837,Mahindra XUV500 W8 2WD,Kochi,2015,59182,Diesel,Manual,First,2179,7,946000
2838,Audi Q7 35 TDI Quattro Premium Plus,Kochi,2016,72132,Diesel,Automatic,Second,2967,7,3900000
2839,BMW 5 Series 2003-2012 520d,Hyderabad,2009,79000,Diesel,Automatic,First,1995,5,1500000
2840,Hyundai Verna 1.6 SX VTVT (O),Coimbatore,2013,66930,Petrol,Manual,First,1591,5,615000
2841,Hyundai Santa Fe 4WD AT,Pune,2015,100000,Diesel,Automatic,Second,2199,7,1450000
2842,Hyundai Santro GLS II - Euro II,Bangalore,2012,43000,Petrol,Manual,First,,,325000
2843,Maruti Wagon R AMT VXI,Kochi,2018,27413,Petrol,Automatic,First,998,5,518000
2844,Maruti Wagon R LX BSIII,Pune,2007,90000,Petrol,Manual,Second,1061,5,124000
2845,Hyundai i20 Sportz 1.2,Kolkata,2013,40300,Petrol,Manual,First,1197,5,280000
2846,Skoda Superb Elegance 1.8 TSI AT,Kochi,2011,73783,Petrol,Automatic,Second,1798,5,523000
2847,Hyundai Getz GLS,Pune,2005,86000,Petrol,Manual,Second,1341,5,45000
2848,Maruti Wagon R LXI BS IV,Delhi,2014,65694,Petrol,Manual,First,998,5,325000
2849,Maruti Omni MPI CARGO BSIV,Kolkata,2015,23000,Petrol,Manual,First,796,5,150000
2850,Hyundai i10 Magna 1.2,Mumbai,2012,51000,Petrol,Manual,First,1197,5,285000
2851,Renault KWID 1.0 RXT Optional,Kochi,2018,18335,Petrol,Manual,First,999,5,450000
2852,Mercedes-Benz B Class 2012-2015 B200 Sport CDI,Bangalore,2014,36000,Diesel,Automatic,First,2147,5,1625000
2853,Volkswagen Polo GT TSI,Mumbai,2017,25000,Petrol,Automatic,First,1197,5,775000
2854,Mahindra Scorpio VLX 4WD,Bangalore,2007,81000,Diesel,Manual,Third,2179,8,435000
2855,Toyota Fortuner 2.8 2WD AT,Kochi,2019,21719,Diesel,Automatic,First,2755,7,3313000
2856,Chevrolet Beat Diesel LT,Coimbatore,2013,75421,Diesel,Manual,First,936,5,363000
2857,Toyota Innova 2.5 G4 Diesel 8-seater,Delhi,2010,80000,Diesel,Manual,First,2494,8,475000
2858,Maruti Swift Dzire VXI,Kochi,2018,10671,Petrol,Manual,First,1197,5,651000
2859,Renault KWID Climber 1.0 MT,Hyderabad,2018,4126,Petrol,Manual,First,999,5,480000
2860,Tata Bolt Quadrajet XM,Hyderabad,2017,98500,Diesel,Manual,First,1248,5,600000
2861,Hyundai Grand i10 Asta,Coimbatore,2016,61578,Petrol,Manual,First,1197,5,640000
2862,Volkswagen Vento 1.5 TDI Highline,Ahmedabad,2014,54000,Diesel,Manual,First,1498,5,490000
2863,Audi A6 2011-2015 2.0 TDI,Coimbatore,2013,70998,Diesel,Automatic,First,1968,5,2057000
2864,Maruti Swift Dzire Ldi BSIV,Kolkata,2015,40082,Diesel,Manual,First,1248,5,476000
2865,Chevrolet Spark 1.0 LT,Kochi,2012,50619,Petrol,Manual,First,995,5,200000
2866,BMW 3 Series 320d,Coimbatore,2009,103905,Diesel,Automatic,First,1995,5,992000
2867,Hyundai EON Era Plus,Kochi,2018,15334,Petrol,Manual,First,814,5,369000
2868,Maruti Swift Dzire VDI,Hyderabad,2013,69000,Diesel,Manual,First,1248,5,575000
2869,Volkswagen CrossPolo 1.5 TDI,Hyderabad,2014,75160,Diesel,Manual,First,1498,5,570000
2870,Honda Amaze E i-Vtech,Coimbatore,2014,44753,Petrol,Manual,First,1198,5,494000
2871,Volkswagen Vento Petrol Highline AT,Kochi,2012,53024,Petrol,Automatic,First,1598,5,429000
2872,Maruti Wagon R Stingray VXI,Kolkata,2014,23840,Petrol,Manual,First,998,5,300000
2873,Volkswagen Polo 1.5 TDI Highline,Hyderabad,2014,81298,Diesel,Manual,First,1498,5,650000
2874,Volkswagen Polo Petrol Comfortline 1.2L,Jaipur,2015,59000,Petrol,Manual,Second,1198,5,490000
2875,Honda Amaze SX i-DTEC,Kochi,2016,51806,Diesel,Manual,First,1498,5,540000
2876,Audi A6 35 TDI Matrix,Delhi,2014,56000,Diesel,Automatic,First,1968,5,2400000
2877,Tata Tigor 1.05 Revotorq XZ Option,Kochi,2019,29279,Diesel,Manual,First,1047,5,746000
2878,Volkswagen Vento 1.5 TDI Highline AT,Kochi,2017,33550,Diesel,Automatic,First,1498,5,960000
2879,Audi A6 35 TDI Matrix,Hyderabad,2014,62000,Diesel,Automatic,First,1968,5,2500000
2880,Nissan Terrano XL 110 PS,Hyderabad,2014,66000,Diesel,Manual,First,1461,5,680000
2881,Skoda Rapid 1.5 TDI AT Elegance,Coimbatore,2016,46630,Diesel,Automatic,First,1498,5,859000
2882,Ford Figo Aspire 1.5 TDCi Trend,Hyderabad,2016,72566,Diesel,Manual,First,1498,5,529000
2883,Tata Venture EX,Pune,2011,51482,Diesel,Manual,First,1405,8,250000
2884,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Chennai,2011,90000,Diesel,Automatic,First,2143,5,1390000
2885,Toyota Fortuner 4x2 Manual,Jaipur,2014,69000,Diesel,Manual,Second,2982,7,2000000
2886,Honda City 1.5 V MT,Delhi,2011,90000,Petrol,Manual,Second,1497,5,340000
2887,Hyundai i20 Asta Option 1.2,Mumbai,2015,39000,Petrol,Manual,First,1197,5,550000
2888,Volkswagen Vento Diesel Trendline,Hyderabad,2012,110000,Diesel,Manual,Second,1598,5,365000
2889,Ford Endeavour 2.5L 4X2 MT,Kochi,2011,68022,Diesel,Manual,First,2499,7,586000
2890,Ford EcoSport 1.5 Petrol Titanium Plus AT,Coimbatore,2018,27852,Petrol,Automatic,First,1497,5,1044000
2891,Maruti Swift VDI BSIV,Bangalore,2013,58291,Diesel,Manual,First,1248,5,500000
2892,Hyundai i20 Sportz Diesel,Coimbatore,2011,68439,Diesel,Manual,First,1396,5,337000
2893,Toyota Innova 2.5 VX (Diesel) 8 Seater,Delhi,2011,150000,Diesel,Manual,First,2494,8,695000
2894,Tata Nexon 1.5 Revotorq XZ Plus Dual Tone,Mumbai,2018,14000,Diesel,Manual,First,1497,5,990000
2895,Ford Figo Diesel Titanium,Hyderabad,2012,71558,Diesel,Manual,First,1399,5,330000
2896,Porsche Panamera Diesel,Delhi,2013,48000,Diesel,Automatic,Second,2967,4,5050000
2897,Hyundai Creta 1.6 CRDi AT SX Plus,Jaipur,2015,65800,Diesel,Automatic,First,1582,5,1250000
2898,Audi A4 2.0 TDI Multitronic,Hyderabad,2014,53000,Diesel,Automatic,First,1968,5,2050000
2899,Mahindra XUV500 W8 4WD,Kolkata,2017,14600,Diesel,Manual,First,2179,7,1450000
2900,Isuzu MUX 4WD,Jaipur,2017,34429,Diesel,Automatic,First,2999,7,2000000
2901,Maruti Swift Dzire VDI,Delhi,2014,52000,Diesel,Manual,First,1248,5,525000
2902,Maruti Ciaz ZXi,Kolkata,2015,25470,Petrol,Manual,First,1373,5,590000
2903,Hyundai EON Era Plus,Pune,2013,22000,Petrol,Manual,First,814,5,260000
2904,Mercedes-Benz E-Class 280 CDI,Chennai,2007,75000,Diesel,Automatic,First,2987,5,1100000
2905,BMW 5 Series 2003-2012 520d,Pune,2011,95995,Diesel,Automatic,First,1995,5,1550000
